estimate,model,training_dataset,training_image_source,evaluation_dataset,evaluation_image_source,data,threshold,sensitivity_point,specificity_point,sensitivity_bootstrap_mean,sensitivity_bootstrap_se,sensitivity_ci_lower,sensitivity_ci_upper,specificity_bootstrap_mean,specificity_bootstrap_se,specificity_ci_lower,specificity_ci_upper,true_positive,false_positive,false_negative,true_negative,malignant_support,benign_support,num_examples,n_bootstrap,prediction_file
basic_cnn_test,cnn,ham10000,full-image,ham10000,full-image,ham10000-test-full-image,0.5028167963027954,0.8361774744027304,0.726729291204099,0.8364130808132443,0.022022310702992598,0.7938453608247423,0.8789814583947232,0.7266272630658599,0.012904343517452965,0.7012751686559419,0.7517583173098421,245,320,48,851,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/basic_cnn_test_predictions.csv
pretrained_resnet50_test,pretrained_resnet50,ham10000,full-image,ham10000,full-image,ham10000-test-full-image,0.4941719770431518,0.8464163822525598,0.8146883005977796,0.8468380725795592,0.020745018255151768,0.803921568627451,0.8852459016393442,0.8149142730709155,0.011619793470335683,0.7916666666666666,0.8373499187059656,248,217,45,954,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/pretrained_resnet50_test_predictions.csv
resnet_test,resnet,ham10000,full-image,ham10000,full-image,ham10000-test-full-image,0.5257588624954224,0.8873720136518771,0.6857386848847139,0.8869333253082812,0.018679948555324906,0.8482758620689655,0.9222614840989399,0.6857795873239634,0.013462604706912072,0.6589119531357144,0.7122008353180915,260,368,33,803,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/resnet_test_predictions.csv
vit_test,vit,ham10000,full-image,ham10000,full-image,ham10000-test-full-image,0.4808422327041626,0.8430034129692833,0.7258753202391118,0.8437102567389928,0.021061029115342238,0.802013422818792,0.8836405249679897,0.7260480891434805,0.012893652211914873,0.7003454231433506,0.7514995715509855,247,321,46,850,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/vit_test_predictions.csv
basic_cnn_lesion_white_test,cnn,ham10000,lesion-white,ham10000,lesion-white,ham10000-test-lesion-white,0.3991658687591553,0.9112627986348123,0.6934244235695987,0.9112258375936244,0.01669842929645232,0.8765822784810127,0.9425696866221059,0.6936235678312335,0.013213702618134768,0.6669513236549958,0.7195241731009844,267,359,26,812,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/basic_cnn_lesion_white_test_predictions.csv
pretrained_resnet50_lesion_white_test,pretrained_resnet50,ham10000,lesion-white,ham10000,lesion-white,ham10000-test-lesion-white,0.3111044466495514,0.8771331058020477,0.8010247651579846,0.8771496559941494,0.019064139949526864,0.8383838383838383,0.9128919860627178,0.8011952999096434,0.011585079920675149,0.7777777777777778,0.8235805753076092,257,233,36,938,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/pretrained_resnet50_lesion_white_test_predictions.csv
resnet_lesion_white_test,resnet,ham10000,lesion-white,ham10000,lesion-white,ham10000-test-lesion-white,0.4300338327884674,0.9112627986348123,0.672929120409906,0.9111194314061478,0.016722630462051916,0.8771316884559999,0.9428595397890699,0.6731967736121565,0.013921154738195631,0.6460445181379966,0.7005181605914225,267,383,26,788,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/resnet_lesion_white_test_predictions.csv
vit_lesion_white_test,vit,ham10000,lesion-white,ham10000,lesion-white,ham10000-test-lesion-white,0.3909602463245392,0.863481228668942,0.6806148590947908,0.8637140657894066,0.020234563249754697,0.8221455611550311,0.9015886026541764,0.6807595567033062,0.013606996718524719,0.653367623871833,0.7069693270225156,253,374,40,797,293,1171,1464,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/vit_lesion_white_test_predictions.csv
pad_ufes_20_full_image_basic_cnn,cnn,ham10000,full-image,pad-ufes-20,full-image,pad-ufes-20-full-image,0.5028167963027954,0.45298094652735094,0.7849686847599165,0.4526669635327569,0.012518989463113195,0.4280466491215064,0.477357659306856,0.784886822040639,0.01836091200444394,0.7494824016563147,0.8198386410599247,737,103,890,376,1627,479,2106,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/pad_ufes_20_full_image_basic_cnn_predictions.csv
pad_ufes_20_full_image_ensemble,ensemble,ham10000,full-image,pad-ufes-20,full-image,pad-ufes-20-full-image,0.5471710562705994,0.5783650891210818,0.8288100208768268,0.5781734492345885,0.012234510272280596,0.554320464532329,0.6022176152274974,0.8286119060657018,0.01732914609336821,0.7942945046633587,0.8612350816505534,941,82,686,397,1627,479,2106,5000,/ocean/projects/mth250011p/troemer/skin-lesions/preds/pad_ufes_20_full_image_ensemble_predictions.csv
